titrable_acidity,temperature,pH,conductivity,status,created_at,acidity_status
0.128,24.2,6.5,1.0,BAD,4/26/2025 18:49,Normal Acidity
0.126,23.8,6.5,1.0,BAD,4/26/2025 18:49,Normal Acidity
0.13,24.0,6.5,0.96,BAD,4/26/2025 18:49,Normal Acidity
0.129,23.9,6.5,1.0,BAD,4/26/2025 18:49,Normal Acidity
0.13,24.0,6.46,1.0,BAD,4/26/2025 18:49,Normal Acidity
0.13,23.8,6.5,0.97,BAD,4/26/2025 18:49,Normal Acidity
0.134,23.9,6.5,1.0,BAD,4/26/2025 18:49,Normal Acidity
0.137,24.0,6.5,0.99,BAD,4/26/2025 18:49,Normal Acidity
0.139,24.0,6.46,1.01,BAD,4/26/2025 18:49,Normal Acidity
0.138,23.5,6.54,0.96,BAD,4/26/2025 18:49,Normal Acidity
0.13,23.7,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.13,24.1,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.13,23.6,6.5,0.99,BAD,4/26/2025 18:50,Normal Acidity
0.129,24.0,6.5,0.94,BAD,4/26/2025 18:50,Normal Acidity
0.126,23.7,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.13,24.0,6.53,0.97,BAD,4/26/2025 18:50,Normal Acidity
0.125,24.0,6.5,0.96,BAD,4/26/2025 18:50,Normal Acidity
0.13,23.5,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.125,24.0,6.5,0.95,BAD,4/26/2025 18:50,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.13,24.0,6.47,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.134,24.0,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.131,24.0,6.48,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.129,24.0,6.44,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.13,24.3,6.5,1.0,BAD,4/26/2025 18:50,Normal Acidity
0.16,25.1,6.66,1.22,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.164,25.1,6.63,1.2,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.168,24.8,6.63,1.16,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.164,24.7,6.62,1.14,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.168,24.5,6.65,1.1,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.168,24.6,6.65,1.06,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.168,24.9,6.65,1.07,ACCEPTABLE,4/26/2025 18:50,Normal Acidity
0.171,25.1,6.67,1.09,SPOILED,4/26/2025 18:50,Normal Acidity
0.175,25.1,6.64,1.06,SPOILED,4/26/2025 18:50,Normal Acidity
0.174,25.4,6.65,1.06,SPOILED,4/26/2025 18:50,Normal Acidity
0.176,25.1,6.6,1.08,SPOILED,4/26/2025 18:50,Normal Acidity
0.171,25.2,6.6,1.06,SPOILED,4/26/2025 18:50,Normal Acidity
0.171,25.3,6.63,1.05,SPOILED,4/26/2025 18:50,Normal Acidity
0.172,25.6,6.58,1.07,SPOILED,4/26/2025 18:50,Normal Acidity
0.169,25.6,6.56,1.1,ACCEPTABLE,4/26/2025 18:51,Normal Acidity
0.169,25.2,6.55,1.11,ACCEPTABLE,4/26/2025 18:51,Normal Acidity
0.165,25.4,6.55,1.07,ACCEPTABLE,4/26/2025 18:51,Normal Acidity
0.161,25.7,6.57,1.03,ACCEPTABLE,4/26/2025 18:51,Normal Acidity
0.14,24.0,6.69,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.135,24.0,6.67,0.99,BAD,4/26/2025 18:51,Normal Acidity
0.132,24.0,6.71,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.13,23.5,6.66,1.0,BAD,4/26/2025 18:51,Low Acidity
0.131,24.0,6.67,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.132,24.0,6.7,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.13,24.0,6.7,1.0,BAD,4/26/2025 18:51,Low Acidity
0.134,24.0,6.67,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.137,24.0,6.69,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.132,24.0,6.64,1.0,BAD,4/26/2025 18:51,Normal Acidity
0.134,24.0,6.68,1.02,BAD,4/26/2025 18:51,Normal Acidity
0.13,23.7,6.68,0.98,BAD,4/26/2025 18:51,Low Acidity
0.13,24.1,6.67,1.0,BAD,4/26/2025 18:51,Low Acidity
0.125,24.3,6.7,1.0,BAD,4/26/2025 18:52,Low Acidity
0.13,23.9,6.66,0.95,BAD,4/26/2025 18:52,Low Acidity
0.132,24.0,6.65,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.132,24.0,6.66,0.96,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.62,1.0,BAD,4/26/2025 18:52,Low Acidity
0.13,23.8,6.58,1.02,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.59,1.03,BAD,4/26/2025 18:52,Normal Acidity
0.129,24.0,6.55,1.06,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.4,6.55,1.1,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.3,6.5,1.08,BAD,4/26/2025 18:52,Normal Acidity
0.126,24.4,6.5,1.05,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.8,6.48,1.04,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.6,6.5,1.06,BAD,4/26/2025 18:52,Normal Acidity
0.128,24.2,6.52,1.08,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.1,6.51,1.08,BAD,4/26/2025 18:52,Normal Acidity
0.126,23.7,6.5,1.12,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.46,1.12,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.5,1.09,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.5,1.04,BAD,4/26/2025 18:52,Normal Acidity
0.132,24.0,6.51,1.08,BAD,4/26/2025 18:52,Normal Acidity
0.13,23.7,6.53,1.03,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.5,1.05,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.5,1.06,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.54,1.02,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.49,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.13,23.8,6.5,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.54,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.132,24.0,6.49,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.128,24.0,6.5,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 18:52,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,23.9,6.46,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.127,24.0,6.5,1.02,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.52,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.134,24.0,6.47,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.133,23.6,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.52,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.128,24.1,6.52,1.04,BAD,4/26/2025 18:53,Normal Acidity
0.13,23.9,6.52,1.03,BAD,4/26/2025 18:53,Normal Acidity
0.13,23.6,6.47,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.5,1.02,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.53,0.98,BAD,4/26/2025 18:53,Normal Acidity
0.134,24.0,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.129,24.0,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.128,24.0,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.2,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,23.8,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.134,23.8,6.5,0.99,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.5,0.98,BAD,4/26/2025 18:53,Normal Acidity
0.133,24.0,6.53,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.128,24.2,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.126,23.8,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.5,0.96,BAD,4/26/2025 18:53,Normal Acidity
0.129,23.9,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,24.0,6.46,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.13,23.8,6.5,0.97,BAD,4/26/2025 18:53,Normal Acidity
0.134,23.9,6.5,1.0,BAD,4/26/2025 18:53,Normal Acidity
0.137,24.0,6.5,0.99,BAD,4/26/2025 18:53,Normal Acidity
0.139,24.0,6.46,1.01,BAD,4/26/2025 18:53,Normal Acidity
0.138,23.5,6.54,0.96,BAD,4/26/2025 19:01,Normal Acidity
0.135,24.0,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.13,23.7,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.13,24.1,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.13,23.6,6.5,0.99,BAD,4/26/2025 19:01,Normal Acidity
0.129,24.0,6.5,0.94,BAD,4/26/2025 19:01,Normal Acidity
0.126,23.7,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.13,24.0,6.53,0.97,BAD,4/26/2025 19:01,Normal Acidity
0.125,24.0,6.5,0.96,BAD,4/26/2025 19:01,Normal Acidity
0.13,23.5,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.125,24.0,6.5,0.95,BAD,4/26/2025 19:01,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.13,24.0,6.47,1.0,BAD,4/26/2025 19:01,Normal Acidity
0.16,25.1,6.66,1.22,ACCEPTABLE,4/26/2025 19:01,Normal Acidity
0.164,25.1,6.63,1.2,ACCEPTABLE,4/26/2025 19:01,Normal Acidity
0.168,24.8,6.63,1.16,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.164,24.7,6.62,1.14,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.168,24.5,6.65,1.1,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.168,24.6,6.65,1.06,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.168,24.9,6.65,1.07,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.171,25.1,6.67,1.09,SPOILED,4/26/2025 19:02,Normal Acidity
0.175,25.1,6.64,1.06,SPOILED,4/26/2025 19:02,Normal Acidity
0.174,25.4,6.65,1.06,SPOILED,4/26/2025 19:02,Normal Acidity
0.176,25.1,6.6,1.08,SPOILED,4/26/2025 19:02,Normal Acidity
0.171,25.2,6.6,1.06,SPOILED,4/26/2025 19:02,Normal Acidity
0.171,25.3,6.63,1.05,SPOILED,4/26/2025 19:02,Normal Acidity
0.172,25.6,6.58,1.07,SPOILED,4/26/2025 19:02,Normal Acidity
0.169,25.6,6.56,1.1,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.169,25.2,6.55,1.11,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.165,25.4,6.55,1.07,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.161,25.7,6.57,1.03,ACCEPTABLE,4/26/2025 19:02,Normal Acidity
0.14,24.0,6.69,1.0,BAD,4/26/2025 19:02,Normal Acidity
0.135,24.0,6.67,0.99,BAD,4/26/2025 19:03,Normal Acidity
0.132,24.0,6.71,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.13,23.5,6.66,1.0,BAD,4/26/2025 19:03,Low Acidity
0.131,24.0,6.67,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.132,24.0,6.7,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.0,6.7,1.0,BAD,4/26/2025 19:03,Low Acidity
0.134,24.0,6.67,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.137,24.0,6.69,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.132,24.0,6.64,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.134,24.0,6.68,1.02,BAD,4/26/2025 19:03,Normal Acidity
0.13,23.7,6.68,0.98,BAD,4/26/2025 19:03,Low Acidity
0.13,24.1,6.67,1.0,BAD,4/26/2025 19:03,Low Acidity
0.125,24.3,6.7,1.0,BAD,4/26/2025 19:03,Low Acidity
0.13,23.9,6.66,0.95,BAD,4/26/2025 19:03,Low Acidity
0.132,24.0,6.65,1.0,BAD,4/26/2025 19:03,Normal Acidity
0.132,24.0,6.66,0.96,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.0,6.62,1.0,BAD,4/26/2025 19:03,Low Acidity
0.13,23.8,6.58,1.02,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.0,6.59,1.03,BAD,4/26/2025 19:03,Normal Acidity
0.129,24.0,6.55,1.06,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.4,6.55,1.1,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.3,6.5,1.08,BAD,4/26/2025 19:03,Normal Acidity
0.126,24.4,6.5,1.05,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.8,6.48,1.04,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.6,6.5,1.06,BAD,4/26/2025 19:03,Normal Acidity
0.128,24.2,6.52,1.08,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.1,6.51,1.08,BAD,4/26/2025 19:03,Normal Acidity
0.126,23.7,6.5,1.12,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.0,6.46,1.12,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.0,6.5,1.09,BAD,4/26/2025 19:03,Normal Acidity
0.13,24.0,6.5,1.04,BAD,4/26/2025 19:04,Normal Acidity
0.132,24.0,6.51,1.08,BAD,4/26/2025 19:04,Normal Acidity
0.13,23.7,6.53,1.03,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.5,1.05,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.5,1.06,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.54,1.02,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.49,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,23.8,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.54,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.132,24.0,6.49,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.128,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,23.9,6.46,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.127,24.0,6.5,1.02,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.52,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.134,24.0,6.47,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.133,23.6,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.52,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.128,24.1,6.52,1.04,BAD,4/26/2025 19:04,Normal Acidity
0.13,23.9,6.52,1.03,BAD,4/26/2025 19:04,Normal Acidity
0.13,23.6,6.47,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.5,1.02,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.53,0.98,BAD,4/26/2025 19:04,Normal Acidity
0.134,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.129,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.128,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.2,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,24.0,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.13,23.8,6.5,1.0,BAD,4/26/2025 19:04,Normal Acidity
0.134,23.8,6.5,0.99,BAD,4/26/2025 19:05,Normal Acidity
0.13,24.0,6.5,0.98,BAD,4/26/2025 19:05,Normal Acidity
0.128,24.2,6.5,1.0,BAD,4/26/2025 19:08,Normal Acidity
0.126,23.8,6.5,1.0,BAD,4/26/2025 19:08,Normal Acidity
0.13,24.0,6.5,0.96,BAD,4/26/2025 19:08,Normal Acidity
0.129,23.9,6.5,1.0,BAD,4/26/2025 19:08,Normal Acidity
0.13,24.0,6.46,1.0,BAD,4/26/2025 19:08,Normal Acidity
0.13,23.8,6.5,0.97,BAD,4/26/2025 19:08,Normal Acidity
0.134,23.9,6.5,1.0,BAD,4/26/2025 19:08,Normal Acidity
0.137,24.0,6.5,0.99,BAD,4/26/2025 19:08,Normal Acidity
0.139,24.0,6.46,1.01,BAD,4/26/2025 19:08,Normal Acidity
0.138,23.5,6.54,0.96,BAD,4/26/2025 19:08,Normal Acidity
0.16,25.1,6.66,1.22,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.164,25.1,6.63,1.2,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.168,24.8,6.63,1.16,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.164,24.7,6.62,1.14,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.168,24.5,6.65,1.1,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.168,24.6,6.65,1.06,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.168,24.9,6.65,1.07,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.171,25.1,6.67,1.09,SPOILED,4/26/2025 19:08,Normal Acidity
0.175,25.1,6.64,1.06,SPOILED,4/26/2025 19:08,Normal Acidity
0.174,25.4,6.65,1.06,SPOILED,4/26/2025 19:08,Normal Acidity
0.176,25.1,6.6,1.08,SPOILED,4/26/2025 19:08,Normal Acidity
0.171,25.2,6.6,1.06,SPOILED,4/26/2025 19:08,Normal Acidity
0.171,25.3,6.63,1.05,SPOILED,4/26/2025 19:08,Normal Acidity
0.172,25.6,6.58,1.07,SPOILED,4/26/2025 19:08,Normal Acidity
0.169,25.6,6.56,1.1,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.169,25.2,6.55,1.11,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.165,25.4,6.55,1.07,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.161,25.7,6.57,1.03,ACCEPTABLE,4/26/2025 19:08,Normal Acidity
0.14,24.0,6.69,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.135,24.0,6.67,0.99,BAD,4/26/2025 19:09,Normal Acidity
0.132,24.0,6.71,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.13,23.5,6.66,1.0,BAD,4/26/2025 19:09,Low Acidity
0.131,24.0,6.67,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.132,24.0,6.7,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.13,24.0,6.7,1.0,BAD,4/26/2025 19:09,Low Acidity
0.134,24.0,6.67,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.137,24.0,6.69,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.132,24.0,6.64,1.0,BAD,4/26/2025 19:09,Normal Acidity
0.134,24.0,6.68,1.02,BAD,4/26/2025 19:09,Normal Acidity
0.13,23.7,6.68,0.98,BAD,4/26/2025 19:09,Low Acidity
